[array([ 46., 125.]), [np.float64(53.273360185149976), np.float64(11.170247443240164), 50]]
[array([ 47., 125.]), [np.float64(53.27335953397773), np.float64(11.170234532663269), 50]]
[array([ 48., 125.]), [np.float64(53.27335888275183), np.float64(11.170221621022066), 50]]
[array([ 49., 125.]), [np.float64(53.27335823147222), np.float64(11.170208708316425), 50]]
[array([ 53., 123.]), [np.float64(53.273371122373874), np.float64(11.170154491480766), 50]]
[array([ 54., 123.]), [np.float64(53.273370471461064), np.float64(11.170141573274629), 50]]
[array([ 55., 123.]), [np.float64(53.27336982049458), np.float64(11.170128654003241), 50]]
[array([ 56., 123.]), [np.float64(53.27336916947441), np.float64(11.170115733666472), 50]]
[array([ 57., 123.]), [np.float64(53.27336851840056), np.float64(11.170102812264194), 50]]
[array([ 60., 124.]), [np.float64(53.27335881433278), np.float64(11.17006531996687), 50]]
[array([ 60., 125.]), [np.float64(53.273351063851365), np.float64(11.170066598263759), 50]]
[array([ 60., 126.]), [np.float64(53.27334331341253), np.float64(11.170067876553622), 50]]
[array([ 59., 127.]), [np.float64(53.27333621552253), np.float64(11.170082079083173), 50]]
[array([ 55., 129.]), [np.float64(53.27332332752219), np.float64(11.170136321075248), 48]]
[array([ 54., 130.]), [np.float64(53.27331623203272), np.float64(11.170150517550189), 48]]
[array([ 51., 133.]), [np.float64(53.273294949308095), np.float64(11.170193099484512), 48]]
[array([ 50., 135.]), [np.float64(53.27328010943535), np.float64(11.170208568311264), 48]]
[array([ 49., 136.]), [np.float64(53.27327301742524), np.float64(11.170222758450086), 48]]
[array([ 47., 137.]), [np.float64(53.273266581074395), np.float64(11.17024985792525), 48]]
[array([ 45., 140.]), [np.float64(53.27324465561972), np.float64(11.170279506530106), 48]]
[array([ 44., 142.]), [np.float64(53.27322982205026), np.float64(11.170294967199425), 48]]
[array([ 43., 143.]), [np.float64(53.27322273414024), np.float64(11.170309149759504), 48]]
[array([ 42., 143.]), [np.float64(53.27322339080997), np.float64(11.170322054495688), 48]]
[array([ 40., 142.]), [np.float64(53.27323244735174), np.float64(11.170346584369623), 48]]
[array([ 40., 141.]), [np.float64(53.273240190758926), np.float64(11.170345307954447), 48]]
[array([ 40., 140.]), [np.float64(53.27324793420863), np.float64(11.170344031532265), 48]]
[[0, 0], [0, 0, 0]]
[array([ 61., 121.]), [np.float64(53.27338141537962), np.float64(11.170048559191931), 50]]
[array([ 62., 118.]), [np.float64(53.27340401866338), np.float64(11.17003179675811), 50]]
[array([ 63., 117.]), [np.float64(53.273411120590055), np.float64(11.170017589907875), 50]]
[array([ 64., 117.]), [np.float64(53.273410471047825), np.float64(11.1700046605137), 50]]
[array([ 66., 118.]), [np.float64(53.273401419115416), np.float64(11.169980077400986), 48]]
[array([ 66., 119.]), [np.float64(53.27339366647085), np.float64(11.169981356269615), 48]]
[array([ 66., 120.]), [np.float64(53.273385913868914), np.float64(11.169982635131216), 48]]
[array([ 66., 121.]), [np.float64(53.27337816130959), np.float64(11.169983913985787), 48]]
[array([ 65., 122.]), [np.float64(53.27337106003225), np.float64(11.169998123919445), 48]]
[array([ 64., 122.]), [np.float64(53.27337171121789), np.float64(11.170011053938852), 50]]
[array([ 63., 122.]), [np.float64(53.27337236234983), np.float64(11.170023982891681), 50]]
[array([ 62., 122.]), [np.float64(53.27337301342805), np.float64(11.170036910778064), 50]]
